system:index,date,station_id,station_name,sub_surface_runoff_sum,surface_runoff_sum,total_precipitation_sum,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,.geo
20150501_0_0,2015-05-01,st-2,Sundarijal,6.14754855632782E-4,5.083531141281128E-4,0.003948205709455976,0.4069194793701172,0.4075978597005208,0.4103768666585286,0.38519732157389325,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150501_1_0,2015-05-01,st-3,Gokarna,4.623010754585266E-4,4.532933235168457E-5,0.00266318917274333,0.4016640981038411,0.403225580851237,0.4053325653076172,0.3736152648925781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150501_2_0,2015-05-01,st-5,Pashupati,3.024190664291382E-4,1.8009543418884277E-4,0.0025942713022217845,0.3923288981119792,0.3961645762125651,0.3833243052164714,0.363094965616862,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150501_3_0,2015-05-01,st-4,Teku,3.024190664291382E-4,1.8009543418884277E-4,0.0025942713022217845,0.3923288981119792,0.3961645762125651,0.3833243052164714,0.363094965616862,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150501_4_0,2015-05-01,st-1,Chovar,3.024190664291382E-4,1.8009543418884277E-4,0.0025942713022217845,0.3923288981119792,0.3961645762125651,0.3833243052164714,0.363094965616862,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502_0_0,2015-05-02,st-2,Sundarijal,6.318241357803345E-4,8.790194988250732E-5,8.609145879745483E-4,0.3955694834391276,0.40168507893880206,0.4081910451253255,0.38593292236328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502_1_0,2015-05-02,st-3,Gokarna,4.772096872329712E-4,1.7821788787841797E-5,0.0011704564094543457,0.39146868387858075,0.39660072326660156,0.4028466542561849,0.3743584950764974,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502_2_0,2015-05-02,st-5,Pashupati,3.0896812677383423E-4,4.8860907554626465E-5,8.080452680587769E-4,0.37692006429036456,0.38777605692545575,0.38227208455403644,0.3635412851969401,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502_3_0,2015-05-02,st-4,Teku,3.0896812677383423E-4,4.8860907554626465E-5,8.080452680587769E-4,0.37692006429036456,0.38777605692545575,0.38227208455403644,0.3635412851969401,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150502_4_0,2015-05-02,st-1,Chovar,3.0896812677383423E-4,4.8860907554626465E-5,8.080452680587769E-4,0.37692006429036456,0.38777605692545575,0.38227208455403644,0.3635412851969401,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503_0_0,2015-05-03,st-2,Sundarijal,6.447285413742065E-4,5.4076313972473145E-5,5.502255229430375E-4,0.386379877726237,0.3935324350992839,0.4055360158284505,0.3864784240722656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503_1_0,2015-05-03,st-3,Gokarna,4.8825889825820923E-4,8.52346420288086E-6,6.288738517241654E-4,0.38320668538411456,0.38904571533203125,0.40006764729817706,0.374911626180013,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503_2_0,2015-05-03,st-5,Pashupati,3.1404197216033936E-4,4.0918588638305664E-5,5.877913503127274E-4,0.36231549580891925,0.3779468536376953,0.380615234375,0.3638693491617839,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503_3_0,2015-05-03,st-4,Teku,3.1404197216033936E-4,4.0918588638305664E-5,5.877913503127274E-4,0.36231549580891925,0.3779468536376953,0.380615234375,0.3638693491617839,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503_4_0,2015-05-03,st-1,Chovar,3.1404197216033936E-4,4.0918588638305664E-5,5.877913503127274E-4,0.36231549580891925,0.3779468536376953,0.380615234375,0.3638693491617839,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504_0_0,2015-05-04,st-2,Sundarijal,6.536692380905151E-4,1.4975666999816895E-5,1.5059272965345372E-4,0.3755486806233724,0.3853861490885417,0.40255292256673175,0.38684527079264325,"{""type"":""MultiPoint"",""coordinates"":[]}"
