system:index,date,sar_vh_db,sar_vv_db,sar_vv_vh_ratio_db,.geo
S1A_IW_GRDH_1SDV_20151030T122131_20151030T122156_008382_00BD62_7715,2015-10-30,-14.461076106838126,-7.741544088736865,6.719532018101261,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20151030T122156_20151030T122221_008382_00BD62_75D3,2015-10-30,-14.078870695469364,-7.3856281641402255,6.693242531329139,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160926T001901_20160926T001930_013216_01507B_98B4,2016-09-26,-13.213053346196357,-7.133850674167418,6.07920267202894,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160926T001930_20160926T001955_013216_01507B_EB68,2016-09-26,-12.497302066817884,-6.188740497938561,6.308561568879323,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20161003T001100_20161003T001129_013318_0153B6_CE92,2016-10-03,-14.743766929703948,-8.758034625997185,5.985732303706763,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20161008T001901_20161008T001930_013391_0155F3_E199,2016-10-08,-13.440239018013877,-7.331007513682774,6.1092315043311025,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20161008T001930_20161008T001955_013391_0155F3_2E23,2016-10-08,-12.663108026772395,-6.330369040301073,6.332738986471322,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20161015T001100_20161015T001129_013493_01593D_5B68,2016-10-15,-15.217626873133018,-9.247193052603114,5.9704338205299035,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20161020T001901_20161020T001930_013566_015B8C_3515,2016-10-20,-13.993577322672886,-7.70355884420151,6.290018478471376,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20161020T001930_20161020T001955_013566_015B8C_7821,2016-10-20,-12.85270671113985,-6.565513150605807,6.287193560534043,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20161027T001100_20161027T001129_013668_015EAE_A028,2016-10-27,-15.504232248351936,-9.423122733255347,6.081109515096589,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20170504T122132_20170504T122157_016432_01B375_DC62,2017-05-04,-14.81077805099356,-8.716818220714984,6.0939598302785765,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20170504T122157_20170504T122222_016432_01B375_8C21,2017-05-04,-14.690490863441148,-8.501050261677182,6.189440601763966,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20170507T001109_20170507T001134_016468_01B48E_6A2B,2017-05-07,-16.687392579500475,-10.767144651609009,5.920247927891467,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20170512T001908_20170512T001933_016541_01B6BE_6F43,2017-05-12,-14.14698433622316,-7.609815126409164,6.537169209813995,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20170516T122132_20170516T122157_016607_01B8CF_7D4E,2017-05-16,-14.510411150483137,-8.248194742312187,6.26221640817095,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20170516T122157_20170516T122222_016607_01B8CF_CF09,2017-05-16,-14.523194512676982,-8.26099580742299,6.262198705253992,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20170519T001110_20170519T001135_016643_01B9E9_892A,2017-05-19,-16.726664620163135,-10.611482247894033,6.115182372269102,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20170524T001909_20170524T001934_016716_01BC27_79BD,2017-05-24,-14.52859901284578,-7.913998020444519,6.61460099240126,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20170528T122133_20170528T122158_016782_01BE32_8835,2017-05-28,-14.411233838668165,-8.210544821888416,6.20068901677975,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20170528T122158_20170528T122223_016782_01BE32_F15C,2017-05-28,-14.567120669972034,-8.23451772558287,6.332602944389164,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20170531T001110_20170531T001135_016818_01BF50_9FC8,2017-05-31,-16.18552225224482,-10.021320472887307,6.164201779357512,"{""type"":""MultiPoint"",""coordinates"":[]}"
